index,Job Title,Rating,Company Name,Location,Headquarters,Size (Employees),Founded,Type of ownership,Industry,Sector,Revenue (USD),Minimum Salary ($),Maximum Salary ($),Skills
0,Data Scientist,3.1,Healthfirst,New York,New York,'1001-5000,1993.0,Nonprofit Organization,Insurance Carriers,Insurance,,137000.0,171000.0,"['aws', 'azure', 'cloud', 'machine learning', 'ai', 'predictive modeling', 'statistics', 'computer science', 'data science', 'exploratory data analysis', 'regression', 'clustering']"
1,Data Scientist,4.2,ManTech,Chantilly,Herndon,'5001-10000,1968.0,Company - Public,Research & Development,Business Services,1-2 billion,137000.0,171000.0,"['sql', 'hadoop', 'machine learning', 'ai', 'statistics', 'mathematics', 'computer science', 'data science', 'regression', 'clustering', 'big data', 'ts/sci']"
2,Data Scientist,3.8,Analysis Group,Boston,Boston,'1001-5000,1981.0,Private Practice / Firm,Consulting,Business Services,100-500 million,137000.0,171000.0,"['python', 'c++', 'linux', 'aws', 'cloud', 'excel', 'machine learning', 'ai', 'nlp', 'natural language processing', 'statistics', 'mathematics', 'computer science', 'data science']"
3,Data Scientist,3.5,INFICON,Newton,Bad Ragaz,'501-1000,2000.0,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,100-500 million,137000.0,171000.0,"['python', 'sql', 'matlab', 'aws', 'nosql', 'excel', 'tensorflow', 'pytorch', 'machine learning', 'ml', 'ai', 'artificial intelligence', 'deep learning', 'computer science', 'data science', 'time series']"
4,Data Scientist,2.9,Affinity Solutions,New York,New York,'51-200,1998.0,Company - Private,Advertising & Marketing,Business Services,,137000.0,171000.0,"['python', 'sql', 'sas', 'cloud', 'excel', 'machine learning', 'ml', 'ai', 'statistics', 'mathematics', 'computer science', 'data science']"
5,Data Scientist,4.2,HG Insights,Santa Barbara,Santa Barbara,'51-200,2010.0,Company - Private,Computer Hardware & Software,Information Technology,,137000.0,171000.0,"['python', 'sql', 'java', 'scala', 'spark', 'hadoop', 'excel', 'tensorflow', 'scikit-learn', 'nltk', 'spacy', 'machine learning', 'ai', 'nlp', 'natural language processing', 'computer science', 'data science', 'regression']"
6,Data Scientist,3.9,Novartis,Cambridge,Basel,'10000+,1996.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,10+ billion,137000.0,171000.0,"['python', 'c++', 'linux', 'pytorch', 'scikit-learn', 'machine learning', 'ai', 'statistics', 'mathematics', 'computer science', 'data science']"
7,Data Scientist,3.5,iRobot,Bedford,Bedford,'1001-5000,1990.0,Company - Public,Consumer Electronics & Appliances Stores,Retail,1-2 billion,137000.0,171000.0,"['python', 'sql', 'ai', 'statistics', 'mathematics', 'computer science']"
8,Data Scientist,4.4,Intuit - Data,San Diego,Mountain View,'5001-10000,1983.0,Company - Public,Computer Hardware & Software,Information Technology,2-5 billion,137000.0,171000.0,['data science']
9,Data Scientist,3.6,XSELL Technologies,Chicago,Chicago,'51-200,2014.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,,137000.0,171000.0,"['python', 'sql', 'cloud', 'tensorflow', 'pytorch', 'machine learning', 'ai', 'artificial intelligence', 'deep learning', 'nlp', 'natural language processing', 'statistics', 'mathematics', 'computer science', 'data science', 'regression']"
10,Data Scientist,4.5,Novetta,Herndon,Mc Lean,'501-1000,2012.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,100-500 million,137000.0,171000.0,"['python', 'java', 'scala', 'aws', 'cloud', 'excel', 'tensorflow', 'keras', 'machine learning', 'ai', 'deep learning', 'nlp', 'natural language processing', 'statistics', 'security clearance', 'clearance', 'ts/sci']"
11,Data Scientist,4.7,1904labs,Saint Louis,Saint Louis,'51-200,2016.0,Company - Private,IT Services,Information Technology,,137000.0,171000.0,"['python', 'sql', 'scala', 'spark', 'tensorflow', 'scikit-learn', 'keras', 'machine learning', 'ml', 'ai', 'predictive modeling', 'statistics', 'data science', 'regression']"
12,Data Scientist,3.7,PNNL,Richland,Richland,'1001-5000,1965.0,Government,Energy,"Oil, Gas, Energy & Utilities",500 million-1 billion,137000.0,171000.0,"['excel', 'machine learning', 'ai', 'statistics', 'mathematics', 'data science', 'ts/sci']"
13,Data Engineer,3.1,Old World Industries,Northbrook,Northbrook,'201-500,1973.0,Company - Private,Chemical Manufacturing,Manufacturing,1-2 billion,137000.0,171000.0,"['python', 'sql', 'etl', 'tableau', 'excel', 'ml', 'ai', 'computer science']"
14,Data Scientist,3.4,Mathematica Policy Research,Washington,Princeton,'1001-5000,1986.0,Company - Private,Consulting,Business Services,100-500 million,137000.0,171000.0,"['python', 'aws', 'cloud', 'excel', 'scikit-learn', 'machine learning', 'ai', 'statistics', 'computer science', 'data science', 'security clearance', 'clearance']"
15,Data Scientist,4.4,Guzman & Griffin Technologies (GGTI),Washington,Mays Landing,'1-50,1997.0,Company - Private,Federal Agencies,Government,,137000.0,171000.0,"['python', 'sql', 'java', 'c++', 'matlab', 'spark', 'hadoop', 'nosql', 'tableau', 'excel', 'tensorflow', 'machine learning', 'ai', 'deep learning', 'predictive modeling', 'statistics', 'computer science', 'data science', 'regression', 'clustering', 'data mining', 'clearance']"
16,Data Scientist,4.1,Upside Business Travel,Remote,Washington,'51-200,2015.0,Company - Private,Internet,Information Technology,,137000.0,171000.0,"['python', 'scala', 'tensorflow', 'pytorch', 'scikit-learn', 'machine learning', 'ml', 'ai', 'data science']"
17,Data Scientist,3.5,Buckman,Memphis,Memphis,'1001-5000,1945.0,Company - Private,Chemical Manufacturing,Manufacturing,500 million-1 billion,137000.0,171000.0,"['python', 'sql', 'java', 'scala', 'c++', 'matlab', 'hadoop', 'hive', 'azure', 'machine learning', 'ai', 'statistics', 'mathematics', 'computer science', 'data science', 'regression', 'time series', 'data mining']"
18,Data Analyst,4.2,"Insight Enterprises, Inc.",Plano,Tempe,'5001-10000,1988.0,Company - Public,Enterprise Software & Network Solutions,Information Technology,5-10 billion,137000.0,171000.0,"['excel', 'ai']"
19,Biomedical & Lab Scientist,3.5,Tower Health,West Grove,Reading,'5001-10000,2017.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,,137000.0,171000.0,"['ml', 'ai']"
